Accession	Name	Source Database	Type	Integrated Into	Integrated Signatures	GO Terms
IPR009009	RlpA-like protein, double-psi beta-barrel domain	interpro	domain		PF03330	
IPR009022	Elongation factor G, domain III	interpro	domain		cd16262	
IPR009025	DNA-directed RNA polymerase, RBP11-like dimerisation domain	interpro	domain		PF13656	GO:0046983,GO:0006351
IPR009031	Carbohydrate binding module family 10	interpro	domain		SM01064	GO:0030248,GO:0005975
IPR009038	GOLD domain	interpro	domain		PF01105,PF13897,PS50866,SM01190	
IPR009040	Ferritin-like diiron domain	interpro	domain		PS50905	
IPR009042	RNA polymerase sigma-70 region 1.2	interpro	domain		PF00140	GO:0003677,GO:0003700,GO:0016987,GO:0006352,GO:0006355
IPR009047	Methyl-coenzyme M reductase, alpha subunit, C-terminal	interpro	domain		PF02249	GO:0050524,GO:0015948
IPR009048	Alpha-macroglobulin, receptor-binding	interpro	domain		PF07677,SM01361	GO:0005576
IPR009056	Cytochrome c-like domain	interpro	domain		PF00034,PF13442,PS51007	GO:0009055,GO:0020037
IPR009066	Alpha-2-macroglobulin receptor-associated protein, domain 1	interpro	domain		PF06400,cd14806	
IPR009067	TAFII-230 TBP-binding	interpro	domain		PF09247	
IPR009071	High mobility group box domain	interpro	domain		PF00505,PF09011,SM00398,PS50118	
IPR009073	Co-chaperone HscB, C-terminal oligomerisation domain	interpro	domain		PF07743	GO:0051259
IPR009075	Acyl-CoA dehydrogenase/oxidase C-terminal	interpro	domain		PF00441	GO:0016627,GO:0055114
IPR009076	FKBP12-rapamycin binding domain	interpro	domain		PF08771	GO:0044877
IPR009081	Phosphopantetheine binding ACP domain	interpro	domain		PF00550,PF14573,PS50075	
IPR009084	B transposition protein, C-terminal	interpro	domain		PF09077	GO:0003677,GO:0006313
IPR009087	Rab geranylgeranyltransferase, alpha subunit, insert-domain	interpro	domain		PF07711	GO:0004663,GO:0008270
IPR009093	Bacteriophage P22 tailspike, N-terminal	interpro	domain		PF09008	GO:0009405
IPR009095	TRADD, N-terminal	interpro	domain		PF09034	GO:0005515,GO:0043123
IPR009105	Colicin E3-like ribonuclease domain	interpro	domain		PF09000	GO:0003723,GO:0016788,GO:0043022,GO:0009405
IPR009109	Ran-GTPase activating protein 1, C-terminal	interpro	domain		PF07834	GO:0005096,GO:0007165
IPR009111	Quinohemoprotein amine dehydrogenase, alpha subunit, domain 2	interpro	domain		PF14930	
IPR009215	TIM-barrel domain, IGPS-like	interpro	domain		PIRSF034452,PF09370	
IPR009232	EB-1 binding	interpro	domain		PF05937	GO:0008013,GO:0016055
IPR009234	Adenomatous polyposis coli protein basic domain	interpro	domain		PF05956	GO:0008017,GO:0016055
IPR009254	Laminin alpha, domain I	interpro	domain		PF06008	GO:0005102,GO:0030155,GO:0030334,GO:0045995
IPR009263	SERTA domain	interpro	domain		PF06031,PS51053	
IPR009269	NF-kappa-B-activating protein, C-terminal	interpro	domain		PF06047	GO:0003682
IPR009270	Domain of unknown function DUF927	interpro	domain		PF06048	
IPR009288	Gamma-glutamylcyclotransferase, AIG2-like	interpro	domain		PF06094	
IPR009302	Tail length tape measure	interpro	domain		PF06120	
IPR009327	Cupin domain of unknown function DUF985	interpro	domain		PF06172	
IPR009342	Putative carbohydrate binding domain	interpro	domain		SM01068	
IPR009349	Zinc finger, C2HC5-type	interpro	domain		PF06221	GO:0008270,GO:0006355,GO:0005634
IPR009362	YhcG PDDEXK nuclease domain	interpro	domain		PF06250	
IPR009364	Putative bacterial toxin YdaT	interpro	domain		PF06254	
IPR009378	Condensin II complex subunit H2, N-terminal	interpro	domain		PF06278	
IPR009398	Adenylate cyclase, conserved domain	interpro	domain		PF06327	GO:0004016,GO:0006171,GO:0005886
IPR009401	Mediator complex subunit Med13, C-terminal	interpro	domain		PF06333	GO:0003712,GO:0006357,GO:0016592
IPR009407	Viral polyprotein, parechovirus P3B	interpro	domain		PF06344	
IPR009419	Viral polyprotein, parechovirus P3A	interpro	domain		PF06363	GO:0019012
IPR009428	Beta-catenin-interacting ICAT domain	interpro	domain		PF06384	GO:0008013
IPR009440	Plasmid segregation protein ParM/StbA	interpro	domain		PF06406	
IPR009449	GDP/GTP exchange factor Sec2, N-terminal	interpro	domain		PF06428	
IPR009454	Lipid transport, open beta-sheet	interpro	domain		PF06448	GO:0005319,GO:0006869
IPR009455	ATP synthase YMF19, uncharacterised, C-terminal	interpro	domain		PF06449	GO:0005739,GO:0016021
IPR009457	Domain of unknown function DUF1084	interpro	domain		PF06454	
IPR009459	MucBP domain	interpro	domain		PF06458	
IPR009460	Ryanodine Receptor TM 4-6	interpro	domain		PF06459	GO:0005219,GO:0006874,GO:0016021
IPR009461	Non-structural protein NSP16, coronavirus-like	interpro	domain		PF06460	
IPR009462	Domain of unknown function DUF1086	interpro	domain		PF06461,SM01146	
IPR009463	Domain of unknown function DUF1087	interpro	domain		PF06465,SM01147	
IPR009464	PCAF, N-terminal	interpro	domain		PF06466	GO:0004402,GO:0006355,GO:0005634
IPR009465	Spondin, N-terminal	interpro	domain		PF06468,PS51020	
IPR009466	Non-structural protein NSP15, coronavirus	interpro	domain		PF06471	
IPR009469	RNA polymerase, N-terminal, coronaviral	interpro	domain		PF06478	GO:0003723,GO:0003968,GO:0005524,GO:0006351
IPR009470	Chitinase, C-terminal	interpro	domain		PF06483	
IPR009471	Teneurin intracellular, N-terminal	interpro	domain		PF06484,PS51361	GO:0007165,GO:0016021
IPR009496	Repulsive guidance molecule, C-terminal	interpro	domain		PF06534	
IPR009498	Bacteriophage 4268, Orf1, C-terminal	interpro	domain		PF06543	
IPR009505	Neural chondroitin sulphate proteoglycan cytoplasmic	interpro	domain		PF06567	
IPR009528	BsuBI/PstI restriction endonuclease domain	interpro	domain		PF06616	GO:0000287,GO:0003677,GO:0009036,GO:0009307
IPR009537	Domain of unknown function DUF1156	interpro	domain		PF06634	
IPR009543	Vacuolar protein sorting-associated protein 13, SHR-binding domain	interpro	domain		PF06650	
IPR009581	FAM20, C-terminal	interpro	domain		PF06702	
IPR009590	Protein Gp5, N-terminal OB-fold domain	interpro	domain		PF06714	GO:0005515
IPR009594	Transcription regulator HTH, AraC, N-terminal	interpro	domain		PF06719	
IPR009596	Domain of unknown function DUF1204	interpro	domain		PF06721	
IPR009597	Domain of unknown function DUF1206	interpro	domain		PF06724	
IPR009604	LsmAD domain	interpro	domain		PF06741,SM01272	
IPR009605	Domain of unknown function DUF1216	interpro	domain		PF06746	
IPR009607	Enhancer of polycomb, C-terminal	interpro	domain		PF06752	
IPR009611	Chorion S19, C-terminal	interpro	domain		PF06756	GO:0007275,GO:0042600
IPR009612	IcmF-related	interpro	domain		PF06761	
IPR009615	Viral desmoplakin, N-terminal	interpro	domain		PF06771	
IPR009623	Uncharacterised protein family UPF0242, N-terminal	interpro	domain		PF06785	
IPR009626	Major intrinsically disordered Notch2-binding receptor 1-like, C-terminal	interpro	domain		PF06789	
IPR009628	Bacteriophage lambda, GpH, tail tape measure, N-terminal	interpro	domain		PF06791	
IPR009639	Peptidase A24A-predicted, C-terminal archaea	interpro	domain		PF06819	
IPR009640	Bacteriophage 933W, L0121, tail fibre, C-terminal	interpro	domain		PF06820	
IPR009647	Penicillin-binding, C-terminal	interpro	domain		PF06832	
IPR009655	Preflagellin peptidase, C-terminal	interpro	domain		PF06847	
IPR009656	PHB de-polymerase, C-terminal	interpro	domain		PF06850	
IPR009658	Domain of unknown function DUF1248	interpro	domain		PF06852	
IPR009671	Regulator of ribonuclease activity B domain	interpro	domain		PF06877	
IPR009674	DNA-directed RNA polymerase I subunit RPA2, domain 4	interpro	domain		PF06883	GO:0003899,GO:0006351,GO:0005634
IPR009683	Extensin-like, C-terminal	interpro	domain		PF06904	
IPR009686	Senescence/spartin-associated	interpro	domain		PF06911	
IPR009688	Domain of unknown function DUF1279	interpro	domain		PF06916	
IPR009695	Diacylglycerol glucosyltransferase, N-terminal	interpro	domain		PF06925	GO:0016758,GO:0009247
IPR009696	Putative replisome organiser, C-terminal	interpro	domain		PF06926	
IPR009715	Regulator of RNA terminal phosphate cyclase	interpro	domain		PF06956	
IPR009717	Mo-dependent nitrogenase, C-terminal	interpro	domain		PF06967	
IPR009718	Rex DNA-binding, C-terminal domain	interpro	domain		PF06971	GO:0045892,GO:0051775
IPR009720	IMP biosynthesis enzyme PurP, C-terminal	interpro	domain		PF06973	GO:0000287,GO:0005524,GO:0016879,GO:0006188
IPR009721	O-acyltransferase WSD1, C-terminal	interpro	domain		PF06974	GO:0004144
IPR009723	Pop1, N-terminal	interpro	domain		PF06978	
IPR009730	Micro-fibrillar-associated protein 1, C-terminal	interpro	domain		PF06991	
IPR009733	Involucrin 2	interpro	domain		PF06994	GO:0030216,GO:0001533
IPR009738	BAT2, N-terminal	interpro	domain		PF07001	
IPR009739	Lysozyme inhibitor LprI, N-terminal	interpro	domain		PF07007	
IPR009741	Protein EARLY FLOWERING 4 domain	interpro	domain		PF07011	
IPR009743	Hs1pro-1, C-terminal	interpro	domain		PF07014	
IPR009755	Regulator of MON1-CCZ1 complex, C-terminal	interpro	domain		PF07035	
IPR009764	Ovarian carcinoma immunoreactive antigen domain	interpro	domain		PF07051	
IPR009766	White spot syndrome virus (WSSV), Orf116/126, C-terminal	interpro	domain		PF07056	
IPR009767	DNA helicase, TraI type	interpro	domain		PF07057	GO:0003677,GO:0003678,GO:0005524,GO:0016818,GO:0000746
IPR009769	Protein ENHANCED DISEASE RESISTANCE 2, C-terminal	interpro	domain		PF07059	
IPR009770	Domain of unknown function DUF1338	interpro	domain		PF07063,SM01150,cd16348	
IPR009771	Ribosome control protein 1	interpro	domain		PF07064	
IPR009799	EthD domain	interpro	domain		TIGR02118,PF07110	
IPR009818	Ataxin-2, C-terminal	interpro	domain		PF07145	
IPR009826	DNA circulation, N-terminal	interpro	domain		PF07157	
IPR009827	Dicarboxylate carrier MatC N-terminal	interpro	domain		PF07158	
IPR009828	CYRIA/CYRIB , Rac1 binding domain	interpro	domain		PF07159	GO:0048365
IPR009839	SseB protein N-terminal domain	interpro	domain		PF07179	
IPR009849	Domain of unknown function DUF1410	interpro	domain		PF07198	
IPR009850	Domain of unknown function DUF1411	interpro	domain		PF07199	
IPR009851	Modifier of rudimentary, Modr	interpro	domain		PF07200,PS51314	
IPR009852	T-complex protein 10, C-terminal domain	interpro	domain		PF07202	
IPR009869	Nematode resistance protein-like HSPRO1, N-terminal	interpro	domain		PF07231	GO:0006952
IPR009875	PilZ domain	interpro	domain		PF07238	GO:0035438
IPR009878	Phlebovirus glycoprotein G2, fusion domain	interpro	domain		PF07245	
IPR009879	Phlebovirus nonstructural NS-M	interpro	domain		PF07246	
IPR009880	Glyoxal oxidase, N-terminal	interpro	domain		PF07250	
IPR009908	Methylamine utilisation protein, MauE	interpro	domain		PF07291	GO:0030416,GO:0016021
IPR009909	Nmi/IFP 35 domain	interpro	domain		PF07292	
IPR009915	NnrU domain	interpro	domain		PF07298	
IPR009917	SRA1/Sec31	interpro	domain		PF07304	
IPR009921	Domain of unknown function DUF1456	interpro	domain		PF07308	
IPR009926	Type III secretion system flagellar brake protein YcgR, N-terminal	interpro	domain		PF07317,PF12945	
IPR009928	Primosomal DnaI, N-terminal	interpro	domain		PF07319	
IPR009938	Nmi/IFP 35 domain, N-terminal	interpro	domain		PF07334	
IPR009988	Domain of unknown function DUF1510	interpro	domain		PF07423	
IPR009994	Phloem filament PP1	interpro	domain		PF07430	
IPR009996	Regulatory protein YycH	interpro	domain		PF07435	
IPR010000	Caerin 1	interpro	domain		PF07440	GO:0005576
IPR010003	HARP domain	interpro	domain		PF07443,PS51467	
IPR010011	Domain of unknown function DUF1518	interpro	domain		PF07469,SM01151	GO:0005634
IPR010033	HAD-superfamily phosphatase, subfamily IIIC	interpro	domain		TIGR01681	
IPR010037	FkbH domain	interpro	domain		TIGR01686	
IPR010056	Phage replisome organiser, N-terminal domain	interpro	domain		TIGR01714,PF09681	
IPR010057	Transcription activator MutR, C-terminal	interpro	domain		TIGR01716	
IPR010060	Non-ribosomal peptide synthase	interpro	domain		TIGR01720	
IPR010065	Amino acid ABC transporter, permease protein, 3-TM domain	interpro	domain		TIGR01726	GO:0022857,GO:0071705,GO:0016021,GO:0043190
IPR010071	Amino acid adenylation domain	interpro	domain		TIGR01733	
IPR010080	Thioester reductase-like domain	interpro	domain		TIGR01746,cd05235	
IPR010090	Phage tail tape measure protein	interpro	domain		TIGR01760,PF10145	
IPR010093	SinI-like, DNA-binding domain	interpro	domain		TIGR01764	GO:0003677
IPR010094	Transposase (putative), N-terminal	interpro	domain		TIGR01765	
IPR010095	Transposase IS605, OrfB, C-terminal	interpro	domain		TIGR01766,PF07282	
IPR010110	Shikimate dehydrogenase, AroM-type	interpro	domain		TIGR01809	GO:0004764,GO:0055114,GO:0005737
IPR010166	Transcriptional regulator SarA/Rot	interpro	domain		TIGR01889	GO:0006355
IPR010177	Doubled CXXCH motif	interpro	domain		TIGR01905,PF09699	
IPR010213	Transcription termination factor NusA	interpro	domain		TIGR01953	GO:0003723
IPR010259	Peptidase S8 propeptide/proteinase inhibitor I9	interpro	domain		PF05922	
IPR010287	Domain of unknown function DUF892	interpro	domain		PF05974	
IPR010294	ADAM-TS Spacer 1	interpro	domain		PF05986	
IPR010303	CREB-binding protein/p300, atypical RING domain	interpro	domain		PF06001,cd15802	
IPR010304	Survival motor neuron	interpro	domain		PF06003	GO:0003723,GO:0006397,GO:0005634,GO:0005737
IPR010307	Laminin domain II	interpro	domain		PF06009	GO:0007155
IPR010308	TRP, C-terminal	interpro	domain		PF06011	
IPR010309	E3 ubiquitin ligase, domain of unknown function DUF908	interpro	domain		PF06012	
IPR010312	GTP-sensing transcriptional pleiotropic repressor CodY, N-terminal	interpro	domain		PF06018	GO:0003677,GO:0005525
IPR010314	E3 ubiquitin ligase, domain of unknown function DUF913	interpro	domain		PF06025	
IPR010316	DNA-3-methyladenine glycosylase AlkA, N-terminal	interpro	domain		PF06029,SM01009	
IPR010333	Bacterial virulence	interpro	domain		PF06057	
IPR010339	TIP49, P-loop domain	interpro	domain		PF06068	GO:0003678,GO:0005524
IPR010357	Domain of unknown function DUF953, thioredoxin-like	interpro	domain		PF06110	
IPR010359	IrrE N-terminal-like domain	interpro	domain		PF06114	
IPR010363	Domain of unknown function DUF959, collagen XVIII, N-terminal	interpro	domain		PF06121	
IPR010372	DNA polymerase III delta, N-terminal	interpro	domain		PF06144	GO:0003677,GO:0003887,GO:0006260,GO:0009360
IPR010376	Gamma-butyrobetaine hydroxylase-like, N-terminal	interpro	domain		PF06155	
IPR010383	Glycosyl hydrolase 94	interpro	domain		PF06165	
IPR010389	Urate oxidase N-terminal	interpro	domain		PF06181	
IPR010399	Tify domain	interpro	domain		PF06200,SM00979,PS51320	
IPR010400	PITH domain	interpro	domain		PF06201,PS51532	
IPR010402	CCT domain	interpro	domain		PF06203,PS51017	GO:0005515
IPR010407	Signaling lymphocytic activation molecule, N-terminal	interpro	domain		PF06214	GO:0038023,GO:0046649,GO:0009986,GO:0016021
IPR010415	LpxI, C-terminal	interpro	domain		PF06230	
IPR010423	Ookinete surface antigen, EGF domain	interpro	domain		PF06247	GO:0009986,GO:0016020
IPR010425	Domain of unknown function DUF1017	interpro	domain		PF06251	
IPR010432	RDD	interpro	domain		PF06271	
IPR010435	Fn3-like domain	interpro	domain		PF06280	GO:0004252,GO:0005618,GO:0016020
IPR010439	Calcium-dependent secretion activator domain	interpro	domain		PF06292,SM01145	
IPR010441	CH-like domain in sperm protein	interpro	domain		PF06294	
IPR010442	PET domain	interpro	domain		PF06297,PS51303	GO:0008270
IPR010445	Lipopolysaccharide assembly protein A domain	interpro	domain		PF06305	GO:0005887
IPR010449	NUMB domain	interpro	domain		PF06311	
IPR010457	Immunoglobulin C2-set-like, ligand-binding	interpro	domain		PF06328	
IPR010465	DRF autoregulatory	interpro	domain		PF06345	
IPR010468	Hormone-sensitive lipase, N-terminal	interpro	domain		PF06350	GO:0016298,GO:0008203,GO:0016042
IPR010472	Formin, FH3 domain	interpro	domain		PF06367,SM01139	GO:0003779,GO:0016043
IPR010473	Formin, GTPase-binding domain	interpro	domain		PF06371,SM01140	GO:0003779,GO:0017048,GO:0030036
IPR010480	Pepsin inhibitor-3-like repeated domain	interpro	domain		PF06394	
IPR010481	Cdc24/Scd1, N-terminal	interpro	domain		PF06395	
IPR010482	Peroxin domain	interpro	domain		PF06398	
IPR010483	Alpha-2-macroglobulin RAP, C-terminal	interpro	domain		PF06401	GO:0008201,GO:0050750,GO:0005783
IPR010488	Zeta toxin domain	interpro	domain		PF06414	GO:0005524,GO:0016301
IPR010491	PRP1 splicing factor, N-terminal	interpro	domain		PF06424	GO:0000398
IPR010493	Serine acetyltransferase, N-terminal	interpro	domain		PF06426,SM00971	GO:0009001,GO:0006535,GO:0005737
IPR010496	Domain of unknown function DUF1080	interpro	domain		PF06439	
IPR010497	Epoxide hydrolase, N-terminal	interpro	domain		PF06441	
IPR010499	Bacterial transcription activator, effector binding	interpro	domain		SM00871	
IPR010502	Carbohydrate-binding domain, family 9	interpro	domain		PF06452,PF16011	GO:0004553,GO:0030246,GO:0016052
IPR010504	Arfaptin homology (AH) domain	interpro	domain		PF06456,PS50870,SM01015	GO:0019904
IPR010505	Molybdenum cofactor synthesis C-terminal	interpro	domain		PF06463	GO:0051539,GO:0006777,GO:0019008
IPR010506	DMAP1-binding domain	interpro	domain		PF06464,SM01137	
IPR010507	Zinc finger, MYM-type	interpro	domain		PF06467	GO:0008270
IPR010508	Domain of unknown function DUF1088	interpro	domain		PF06469	
IPR010511	Lytic murein transglycosylase D , lipid attachment domain	interpro	domain		PF06474	
IPR010513	KEN domain	interpro	domain		PF06479,PS51392	GO:0004540,GO:0006397
IPR010514	COX aromatic rich motif	interpro	domain		PF06481	GO:0008827,GO:0022900,GO:0055114,GO:0016021
IPR010515	Collagenase NC10/endostatin	interpro	domain		PF06482,cd00247	
IPR010518	Flagellar regulatory FleQ	interpro	domain		PF06490	
IPR010523	Activator of aromatic catabolism	interpro	domain		PF06505	
IPR010524	Signal transduction response regulator, propionate catabolism activator, N-terminal	interpro	domain		PF06506	GO:0000156,GO:0003677,GO:0005524,GO:0000160
IPR010525	Auxin response factor	interpro	domain		PF06507	GO:0003677,GO:0006355,GO:0009725,GO:0005634
IPR010526	Sodium ion transport-associated	interpro	domain		PF06512	GO:0005248,GO:0006814,GO:0001518
IPR010533	Vertebrate interleukin-3 regulated transcription factor	interpro	domain		PF06529	GO:0006351,GO:0007623,GO:0005634
IPR010536	Repulsive guidance molecule, N-terminal	interpro	domain		PF06535	
IPR010537	Avian adenovirus fibre, N-terminal	interpro	domain		PF06536	GO:0019062
IPR010541	Domain of unknown function DUF1115	interpro	domain		PF06544	
IPR010542	Vertebrate heat shock transcription factor, C-terminal domain	interpro	domain		PF06546	GO:0003677,GO:0003700,GO:0006355
IPR010543	Domain of unknown function DUF1117	interpro	domain		PF06547	
IPR010549	African swine fever virus, IAP-like p27, C-terminal	interpro	domain		PF06556	
IPR010551	Glucose-6-phosphate isomerase, prokaryote	interpro	domain		PF06560	GO:0004347,GO:0006094,GO:0006096,GO:0005737
IPR010554	Domain of unknown function DUF1126	interpro	domain		PF06565	
IPR010555	CSPG5, sulphate attachment domain	interpro	domain		PF06566	
IPR010559	Signal transduction histidine kinase, internal region	interpro	domain		PF06580	GO:0000155,GO:0000160,GO:0016021
IPR010560	Neogenin, C-terminal	interpro	domain		PF06583	GO:0016021
IPR010565	Muskelin, N-terminal	interpro	domain		PF06588	
IPR010566	Haemolysin-type calcium binding-related	interpro	domain		PF06594	
IPR010569	Myotubularin-like phosphatase domain	interpro	domain		PF06602,PS51339	
IPR010572	Prophage tail endopeptidase	interpro	domain		PF06605	
IPR010575	KorB, C-terminal	interpro	domain		PF06613	GO:0003677,GO:0045892
IPR010578	Single-minded, C-terminal	interpro	domain		PF06621,PS51302	GO:0003677,GO:0003700,GO:0006355
IPR010579	MHC class I, alpha chain, C-terminal	interpro	domain		PF06623	GO:0006955,GO:0019882
IPR010582	Catalase immune-responsive domain	interpro	domain		PF06628	
IPR010588	Myb-related protein P, C-terminal	interpro	domain		PF06640	
IPR010596	Methuselah, N-terminal domain	interpro	domain		PF06652,cd00251	GO:0004930
IPR010598	D-glucuronyl C5-epimerase, C-terminal	interpro	domain		PF06662	
IPR010599	Connector enhancer of kinase suppressor of ras 2	interpro	domain		PF06663	GO:0009966,GO:0005737,GO:0016020
IPR010600	Inter-alpha-trypsin inhibitor heavy chain, C-terminal	interpro	domain		PF06668	GO:0004867,GO:0030212
IPR010603	Zinc finger, ClpX C4-type	interpro	domain		PF06689,SM00994	GO:0008270,GO:0046983
IPR010606	Mib-herc2	interpro	domain		PF06701,PS51416	GO:0004842,GO:0046872,GO:0016567
IPR010610	Domain of unknown function DUF1205	interpro	domain		PF06722	
IPR010611	3D domain	interpro	domain		PF06725	GO:0004553,GO:0009254,GO:0019867
IPR010614	DEAD2	interpro	domain		PF06733	GO:0003677,GO:0003678,GO:0005524
IPR010615	Herpesvirus UL97	interpro	domain		PF06734	GO:0004672,GO:0005524,GO:0016032
IPR010618	Transglycosylase-like	interpro	domain		PF06737	
IPR010619	Putative threonine/serine exporter	interpro	domain		PF06738	
IPR010621	Domain of unknown function DUF1214	interpro	domain		PF06742	
IPR010622	FAST kinase leucine-rich	interpro	domain		PF06743	GO:0044528
IPR010623	Type VI secretion system IcmF, C-terminal	interpro	domain		PF06744	
IPR010624	KaiC domain	interpro	domain		PS51146	GO:0005524
IPR010625	CHCH	interpro	domain		PF06747	
IPR010627	Peptidase A24A, N-terminal	interpro	domain		PF06750	
IPR010630	Olduvai domain	interpro	domain		PF06758,PS51316,SM01148	
IPR010632	Domain of unknown function DUF1221	interpro	domain		PF06760	
IPR010643	Helical and beta-bridge domain	interpro	domain		PF06777	
IPR010645	Uncharacterised MFS-type transporter YbfB	interpro	domain		PF06779	
IPR010650	PrkA C-terminal domain	interpro	domain		PF06798	
IPR010652	Domain of unknown function DUF1232	interpro	domain		PF06803	
IPR010655	Pre-mRNA cleavage complex subunit Clp1, C-terminal	interpro	domain		PF06807	GO:0031124
IPR010656	TRAP C4-dicarboxylate transport system permease DctM subunit	interpro	domain		PF06808	
IPR010657	ImpA, N-terminal	interpro	domain		PF06812	
IPR010658	Nodulin-like	interpro	domain		PF06813	
IPR010659	Reverse transcriptase connection	interpro	domain		PF06815	GO:0003964,GO:0006278
IPR010660	Notch, NOD domain	interpro	domain		PF06816,SM01338	GO:0030154,GO:0016021
IPR010661	Reverse transcriptase thumb	interpro	domain		PF06817	GO:0003964,GO:0006278
IPR010663	Zinc finger, FPG/IleRS-type	interpro	domain		PF06827	
IPR010666	Zinc finger, GRF-type	interpro	domain		PF06839	GO:0008270
IPR010672	IMP biosynthesis enzyme PurP, N-terminal	interpro	domain		PF06849	GO:0000287,GO:0005524,GO:0016879,GO:0006188
IPR010674	Nucleolar GTP-binding protein 1, Rossman-fold domain	interpro	domain		PF06858	GO:0005525
IPR010675	RNA methyltransferase bin3, C-terminal	interpro	domain		PF06859	GO:0008168
IPR010679	Domain of unknown function DUF1254	interpro	domain		PF06863	
IPR010685	Domain of unknown function DUF1263	interpro	domain		PF06882	
IPR010693	Divergent 4Fe-4S mono-cluster	interpro	domain		PF06902	
IPR010703	Dedicator of cytokinesis, C-terminal	interpro	domain		PF06920	
IPR010713	Xyloglucan endo-transglycosylase, C-terminal	interpro	domain		PF06955	GO:0016762,GO:0006073,GO:0005618,GO:0048046
IPR010714	Coatomer, alpha subunit, C-terminal	interpro	domain		PF06957	GO:0005198,GO:0005515,GO:0006886,GO:0016192,GO:0030126
IPR010716	RecQ helicase-like 5	interpro	domain		PF06959	
IPR010720	Alpha-L-arabinofuranosidase, C-terminal	interpro	domain		PF06964,SM00813	GO:0046556,GO:0046373
IPR010722	Biotin and thiamin synthesis-associated domain	interpro	domain		PF06968,SM00876	
IPR010723	HemN, C-terminal	interpro	domain		PF06969	
IPR010724	Replication initiator A, N-terminal	interpro	domain		PF06970	
IPR010725	Domain of unknown function DUF1299	interpro	domain		PF06975	
IPR010730	Heterokaryon incompatibility	interpro	domain		PF06985	
IPR010733	Domain of unknown function DUF1308	interpro	domain		PF07000	
IPR010734	Copine	interpro	domain		PF07002,cd01459	
IPR010737	Four-carbon acid sugar kinase, N-terminal domain	interpro	domain		PF07005	
IPR010750	SGF29 tudor-like domain	interpro	domain		PS51518,PF07039	
IPR010753	Domain of unknown function DUF1330	interpro	domain		PF07045	
IPR010766	DRTGG	interpro	domain		PF07085	
IPR010768	Putative glutamine amidotransferase	interpro	domain		PF07090	
IPR010776	Homologous-pairing protein 2, winged helix domain	interpro	domain		PF07106	
IPR010788	VDE lipocalin domain	interpro	domain		PF07137	GO:0046422,GO:0055114,GO:0009507
IPR010791	AttH domain	interpro	domain		PF07143	
IPR010795	Prenylcysteine lyase	interpro	domain		PF07156	GO:0016670,GO:0030328,GO:0055114
IPR010799	Microcystin LR degradation protein MlrC, C-terminal	interpro	domain		PF07171	
IPR010802	Domain of unknown function DUF1400	interpro	domain		PF07176	
IPR010806	Poxvirus, TNF receptor-II, C-terminal	interpro	domain		PF07190	
IPR010808	Chemotaxis protein CheA, P2 response regulator-binding	interpro	domain		PF07194	GO:0000155,GO:0004673,GO:0000160
IPR010809	Flagellar hook-associated protein 2, C-terminal	interpro	domain		PF07195	GO:0007155,GO:0009288
IPR010811	Domain of unknown function DUF1409	interpro	domain		PF07197	
IPR010812	Hypersensitivity response secretion-like, HrpJ	interpro	domain		PF07201	GO:0009405,GO:0046903,GO:0019867
IPR010817	HemY, N-terminal	interpro	domain		PF07219	
IPR010820	UBA-like domain DUF1421	interpro	domain		PF07223	
IPR010826	Phlebovirus glycoprotein G1	interpro	domain		PF07243	GO:0016021,GO:0019012
IPR010827	POTRA domain, BamA/TamA-like	interpro	domain		PF07244	GO:0019867
IPR010841	Elongation factor G-binding protein, N-terminal	interpro	domain		PF07299	
IPR010844	Occludin homology domain	interpro	domain		PF07303	
IPR010854	Domain of unknown function DUF1471	interpro	domain		PF07338	
IPR010872	MDMPI C-terminal	interpro	domain		PF07398	
IPR010879	Domain of unknown function DUF1508	interpro	domain		PF07411	
IPR010884	6-Cysteine (6-Cys) domain	interpro	domain		PF07422,SM00970,PS51701	
IPR010895	CHRD	interpro	domain		SM00754,PF07452,PS50933	
IPR010896	Nuclease-associated modular DNA-binding 1	interpro	domain		PF07453	
IPR010901	Merozoite surface 1, C-terminal	interpro	domain		PF07462	GO:0009405,GO:0016020
IPR010902	NUMOD4	interpro	domain		PF07463	GO:0016788
IPR010907	Calcium-mediated lectin	interpro	domain		PF07472	
IPR010908	Longin domain	interpro	domain		PS50859,PF13774,SM01270	
IPR010909	PLAC	interpro	domain		PF08686,PS50900	
IPR010910	Nitrate/nitrite sensing protein, bacterial	interpro	domain		PS50906	
IPR010911	Rab-binding domain	interpro	domain		PS50916	GO:0017137,GO:0006886
IPR010912	Spen paralogue/orthologue C-terminal, metazoa	interpro	domain		PS50917	
IPR010914	RsgA GTPase domain	interpro	domain		PS50936,PF03193	GO:0003924,GO:0005525
IPR010918	PurM-like, C-terminal domain	interpro	domain		PF02769	
IPR010926	Class I myosin tail homology domain	interpro	domain		PF06017,PS51757	GO:0003774,GO:0016459
IPR010929	CDR ABC transporter	interpro	domain		PF06422	GO:0005524,GO:0042626,GO:0055085,GO:0016021
IPR010930	Flagellar basal-body/hook protein, C-terminal domain	interpro	domain		PF06429	
IPR010931	Lactococcus lactis RepB, C-terminal	interpro	domain		PF06430	
IPR010932	Large T antigen, polyomavirus, C-terminal	interpro	domain		PF06431	GO:0003677,GO:0005524,GO:0006260
